0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:38:00 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:38:00 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:38:00 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:38:22 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:38:23 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:38:23 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:39:32 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:39:32 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:39:32 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:39:43 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:39:43 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:39:43 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:40:07 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6461
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:40:07 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:40:07 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:41:08 -0300] "POST /Cafeteria/View/Cadastro.jsp HTTP/1.1" 200 6460
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:41:08 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:41:09 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:41:19 -0300] "GET /Cafeteria/View/Cadastro.jsp?nome=Lorrayne+saraiva&telefone=70707070&email=lola%40gmail.com&senha=123&endereco=07432-455&acao= HTTP/1.1" 200 6460
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:41:19 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:41:19 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:43:27 -0300] "GET /Cafeteria/View/Cadastro.jsp?nome=Lorrayne+saraiva&telefone=70707070&email=lola%40gmail.com&senha=123&endereco=07432-455&acao= HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:43:27 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:43:27 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:43:35 -0300] "GET /Cafeteria/View/Cadastro.jsp?nome=Lorrayne+saraiva&telefone=70707070&email=lola%40gmail.com&senha=123&endereco=rua+dos+guilhermeiros&acao=cadastrar HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:43:36 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:43:36 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:51:19 -0300] "GET /Cafeteria/View/Cadastro.jsp?nome=Lorrayne+saraiva&telefone=70707070&email=lola%40gmail.com&senha=123&endereco=rua+dos+guilhermeiros&acao=cadastrar HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:51:19 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:51:19 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:51:33 -0300] "GET /Cafeteria/View/Cadastro.jsp?nome=Lorrayne+saraiva&telefone=70707070&email=lola%40gmail.com&senha=123&endereco=rua+dos+guilhermeiros&acao=cadastrar HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:51:33 -0300] "GET /Cafeteria/assets/js/color-modes.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [30/Jun/2023:00:51:33 -0300] "GET /Cafeteria/assets/dist/css/bootstrap.rtl.min.css HTTP/1.1" 404 826
